query,response
"I need an oriental tea set","{""core_type"": ""tea set"", ""modifiers"": [""oriental""], ""compound_type"": ""oriental tea set""}"
"Make a steampunk goggles","{""core_type"": ""goggles"", ""modifiers"": [""steampunk""], ""compound_type"": ""steampunk goggles""}"
"Design a modern floor lamp","{""core_type"": ""lamp"", ""modifiers"": [""modern"", ""floor""], ""compound_type"": ""floor lamp""}"
"Create an ancient aztec temple","{""core_type"": ""temple"", ""modifiers"": [""ancient"", ""aztec""], ""compound_type"": ""aztec temple""}"
"I want a nordic dining chair","{""core_type"": ""chair"", ""modifiers"": [""nordic"", ""dining""], ""compound_type"": ""dining chair""}"
"Make a cyberpunk motorcycle","{""core_type"": ""motorcycle"", ""modifiers"": [""cyberpunk""], ""compound_type"": ""cyberpunk motorcycle""}"
"Design an egyptian sarcophagus","{""core_type"": ""sarcophagus"", ""modifiers"": [""egyptian""], ""compound_type"": ""egyptian sarcophagus""}"
"Create a vintage telephone","{""core_type"": ""telephone"", ""modifiers"": [""vintage""], ""compound_type"": ""vintage telephone""}"
"I need a modern bathroom sink","{""core_type"": ""sink"", ""modifiers"": [""modern"", ""bathroom""], ""compound_type"": ""bathroom sink""}"
"Make an industrial bookend","{""core_type"": ""bookend"", ""modifiers"": [""industrial""], ""compound_type"": ""industrial bookend""}"
"Design a renaissance fountain","{""core_type"": ""fountain"", ""modifiers"": [""renaissance""], ""compound_type"": ""renaissance fountain""}"
"Create a rustic wine rack","{""core_type"": ""rack"", ""modifiers"": [""rustic"", ""wine""], ""compound_type"": ""wine rack""}"
"I want an art nouveau mirror","{""core_type"": ""mirror"", ""modifiers"": [""art nouveau""], ""compound_type"": ""art nouveau mirror""}"
"Make a gothic candelabra","{""core_type"": ""candelabra"", ""modifiers"": [""gothic""], ""compound_type"": ""gothic candelabra""}"
"Design a modern fruit bowl","{""core_type"": ""bowl"", ""modifiers"": [""modern"", ""fruit""], ""compound_type"": ""fruit bowl""}"
"Create a steampunk compass","{""core_type"": ""compass"", ""modifiers"": [""steampunk""], ""compound_type"": ""steampunk compass""}"
"I need a classic writing desk","{""core_type"": ""desk"", ""modifiers"": [""classic"", ""writing""], ""compound_type"": ""writing desk""}"
"Make a futuristic door handle","{""core_type"": ""handle"", ""modifiers"": [""futuristic"", ""door""], ""compound_type"": ""door handle""}"
"Design an oriental room divider","{""core_type"": ""divider"", ""modifiers"": [""oriental"", ""room""], ""compound_type"": ""room divider""}"
"Create a medieval treasure chest","{""core_type"": ""chest"", ""modifiers"": [""medieval"", ""treasure""], ""compound_type"": ""treasure chest""}"
"I want a victorian hat stand","{""core_type"": ""stand"", ""modifiers"": [""victorian"", ""hat""], ""compound_type"": ""hat stand""}"
"Make an industrial wall shelf","{""core_type"": ""shelf"", ""modifiers"": [""industrial"", ""wall""], ""compound_type"": ""wall shelf""}"
"Design a minimalist plant pot","{""core_type"": ""pot"", ""modifiers"": [""minimalist"", ""plant""], ""compound_type"": ""plant pot""}"
"Create a retro jukebox","{""core_type"": ""jukebox"", ""modifiers"": [""retro""], ""compound_type"": ""retro jukebox""}"
"I need a baroque door knocker","{""core_type"": ""knocker"", ""modifiers"": [""baroque"", ""door""], ""compound_type"": ""door knocker""}"
"Make a sci-fi control panel","{""core_type"": ""panel"", ""modifiers"": [""sci-fi"", ""control""], ""compound_type"": ""control panel""}"
"Design an antique music box","{""core_type"": ""box"", ""modifiers"": [""antique"", ""music""], ""compound_type"": ""music box""}"
"Create a contemporary fireplace","{""core_type"": ""fireplace"", ""modifiers"": [""contemporary""], ""compound_type"": ""contemporary fireplace""}"
"I want a rustic spice rack","{""core_type"": ""rack"", ""modifiers"": [""rustic"", ""spice""], ""compound_type"": ""spice rack""}"
"Make a gothic window frame","{""core_type"": ""frame"", ""modifiers"": [""gothic"", ""window""], ""compound_type"": ""window frame""}"
"Design a modern knife block","{""core_type"": ""block"", ""modifiers"": [""modern"", ""knife""], ""compound_type"": ""knife block""}"
"Create an art deco mailbox","{""core_type"": ""mailbox"", ""modifiers"": [""art deco""], ""compound_type"": ""art deco mailbox""}"
"I need a vintage coat rack","{""core_type"": ""rack"", ""modifiers"": [""vintage"", ""coat""], ""compound_type"": ""coat rack""}"
"Make a steampunk clock face","{""core_type"": ""face"", ""modifiers"": [""steampunk"", ""clock""], ""compound_type"": ""clock face""}"
"Design a nordic bed frame","{""core_type"": ""frame"", ""modifiers"": [""nordic"", ""bed""], ""compound_type"": ""bed frame""}"
"Create a cyberpunk drone","{""core_type"": ""drone"", ""modifiers"": [""cyberpunk""], ""compound_type"": ""cyberpunk drone""}"
"I want an egyptian scarab pendant","{""core_type"": ""pendant"", ""modifiers"": [""egyptian"", ""scarab""], ""compound_type"": ""scarab pendant""}"
"Make a renaissance picture frame","{""core_type"": ""frame"", ""modifiers"": [""renaissance"", ""picture""], ""compound_type"": ""picture frame""}"
"Design an industrial pipe lamp","{""core_type"": ""lamp"", ""modifiers"": [""industrial"", ""pipe""], ""compound_type"": ""pipe lamp""}"
"Create a victorian birdcage","{""core_type"": ""birdcage"", ""modifiers"": [""victorian""], ""compound_type"": ""victorian birdcage""}"
"I need a modern soap dish","{""core_type"": ""dish"", ""modifiers"": [""modern"", ""soap""], ""compound_type"": ""soap dish""}"
"Make an art nouveau vase","{""core_type"": ""vase"", ""modifiers"": [""art nouveau""], ""compound_type"": ""art nouveau vase""}"
"Design a rustic key holder","{""core_type"": ""holder"", ""modifiers"": [""rustic"", ""key""], ""compound_type"": ""key holder""}"
"Create a minimalist book stand","{""core_type"": ""stand"", ""modifiers"": [""minimalist"", ""book""], ""compound_type"": ""book stand""}"
"I want a futuristic desk organizer","{""core_type"": ""organizer"", ""modifiers"": [""futuristic"", ""desk""], ""compound_type"": ""desk organizer""}"
"Make a classic umbrella stand","{""core_type"": ""stand"", ""modifiers"": [""classic"", ""umbrella""], ""compound_type"": ""umbrella stand""}"
"Design an oriental incense holder","{""core_type"": ""holder"", ""modifiers"": [""oriental"", ""incense""], ""compound_type"": ""incense holder""}"
"Create a medieval weapon rack","{""core_type"": ""rack"", ""modifiers"": [""medieval"", ""weapon""], ""compound_type"": ""weapon rack""}"
"I need a baroque mirror frame","{""core_type"": ""frame"", ""modifiers"": [""baroque"", ""mirror""], ""compound_type"": ""mirror frame""}"
"Make a sci-fi hologram projector","{""core_type"": ""projector"", ""modifiers"": [""sci-fi"", ""hologram""], ""compound_type"": ""hologram projector""}"
"Design an antique jewelry box","{""core_type"": ""box"", ""modifiers"": [""antique"", ""jewelry""], ""compound_type"": ""jewelry box""}"
"Create a contemporary wall art","{""core_type"": ""art"", ""modifiers"": [""contemporary"", ""wall""], ""compound_type"": ""wall art""}"
"I want a gothic candle holder","{""core_type"": ""holder"", ""modifiers"": [""gothic"", ""candle""], ""compound_type"": ""candle holder""}"
"Make a steampunk wall clock","{""core_type"": ""clock"", ""modifiers"": [""steampunk"", ""wall""], ""compound_type"": ""wall clock""}"
"Design a nordic plant stand","{""core_type"": ""stand"", ""modifiers"": [""nordic"", ""plant""], ""compound_type"": ""plant stand""}"
"Create a cyberpunk visor","{""core_type"": ""visor"", ""modifiers"": [""cyberpunk""], ""compound_type"": ""cyberpunk visor""}"
"I need an egyptian obelisk","{""core_type"": ""obelisk"", ""modifiers"": [""egyptian""], ""compound_type"": ""egyptian obelisk""}"
"Make a renaissance sundial","{""core_type"": ""sundial"", ""modifiers"": [""renaissance""], ""compound_type"": ""renaissance sundial""}"
"Design an industrial shelf bracket","{""core_type"": ""bracket"", ""modifiers"": [""industrial"", ""shelf""], ""compound_type"": ""shelf bracket""}"
"Create a victorian hand mirror","{""core_type"": ""mirror"", ""modifiers"": [""victorian"", ""hand""], ""compound_type"": ""hand mirror""}"
"I want a modern towel rack","{""core_type"": ""rack"", ""modifiers"": [""modern"", ""towel""], ""compound_type"": ""towel rack""}"
"Make an art nouveau picture frame","{""core_type"": ""frame"", ""modifiers"": [""art nouveau"", ""picture""], ""compound_type"": ""picture frame""}"
"Design a rustic wall hook","{""core_type"": ""hook"", ""modifiers"": [""rustic"", ""wall""], ""compound_type"": ""wall hook""}"
"Create a minimalist desk clock","{""core_type"": ""clock"", ""modifiers"": [""minimalist"", ""desk""], ""compound_type"": ""desk clock""}"
"I need a futuristic phone stand","{""core_type"": ""stand"", ""modifiers"": [""futuristic"", ""phone""], ""compound_type"": ""phone stand""}"
"Make a classic pen holder","{""core_type"": ""holder"", ""modifiers"": [""classic"", ""pen""], ""compound_type"": ""pen holder""}"
"Design an oriental tea table","{""core_type"": ""table"", ""modifiers"": [""oriental"", ""tea""], ""compound_type"": ""tea table""}"
"Create a medieval torch holder","{""core_type"": ""holder"", ""modifiers"": [""medieval"", ""torch""], ""compound_type"": ""torch holder""}"
"I want a baroque ceiling rose","{""core_type"": ""rose"", ""modifiers"": [""baroque"", ""ceiling""], ""compound_type"": ""ceiling rose""}"
"Make a sci-fi door panel","{""core_type"": ""panel"", ""modifiers"": [""sci-fi"", ""door""], ""compound_type"": ""door panel""}"
"Design an antique book stand","{""core_type"": ""stand"", ""modifiers"": [""antique"", ""book""], ""compound_type"": ""book stand""}"
"Create a contemporary vase","{""core_type"": ""vase"", ""modifiers"": [""contemporary""], ""compound_type"": ""contemporary vase""}"
"I need a gothic wall sconce","{""core_type"": ""sconce"", ""modifiers"": [""gothic"", ""wall""], ""compound_type"": ""wall sconce""}"
"Make a steampunk desk lamp","{""core_type"": ""lamp"", ""modifiers"": [""steampunk"", ""desk""], ""compound_type"": ""desk lamp""}"
"Design a nordic coat hook","{""core_type"": ""hook"", ""modifiers"": [""nordic"", ""coat""], ""compound_type"": ""coat hook""}"
"Create a cyberpunk headset","{""core_type"": ""headset"", ""modifiers"": [""cyberpunk""], ""compound_type"": ""cyberpunk headset""}"
"I want an egyptian ankh pendant","{""core_type"": ""pendant"", ""modifiers"": [""egyptian"", ""ankh""], ""compound_type"": ""ankh pendant""}"
"Make a renaissance goblet","{""core_type"": ""goblet"", ""modifiers"": [""renaissance""], ""compound_type"": ""renaissance goblet""}"
"Design an industrial ceiling light","{""core_type"": ""light"", ""modifiers"": [""industrial"", ""ceiling""], ""compound_type"": ""ceiling light""}"
"Create a victorian wall mirror","{""core_type"": ""mirror"", ""modifiers"": [""victorian"", ""wall""], ""compound_type"": ""wall mirror""}"
"I need a modern magazine rack","{""core_type"": ""rack"", ""modifiers"": [""modern"", ""magazine""], ""compound_type"": ""magazine rack""}"
"Make an art nouveau table lamp","{""core_type"": ""lamp"", ""modifiers"": [""art nouveau"", ""table""], ""compound_type"": ""table lamp""}"
"Design a rustic coat hook","{""core_type"": ""hook"", ""modifiers"": [""rustic"", ""coat""], ""compound_type"": ""coat hook""}"
"Create a minimalist wall shelf","{""core_type"": ""shelf"", ""modifiers"": [""minimalist"", ""wall""], ""compound_type"": ""wall shelf""}"
"I want a futuristic tablet stand","{""core_type"": ""stand"", ""modifiers"": [""futuristic"", ""tablet""], ""compound_type"": ""tablet stand""}"
"Make a classic bookend set","{""core_type"": ""set"", ""modifiers"": [""classic"", ""bookend""], ""compound_type"": ""bookend set""}"
"I need an industrial storage cabinet","{""core_type"": ""cabinet"", ""modifiers"": [""industrial"", ""storage""], ""compound_type"": ""storage cabinet""}"
"Can you create a rustic wooden bookshelf","{""core_type"": ""bookshelf"", ""modifiers"": [""rustic"", ""wooden""], ""compound_type"": ""wooden bookshelf""}"
"Design a minimalist wall clock","{""core_type"": ""clock"", ""modifiers"": [""minimalist"", ""wall""], ""compound_type"": ""wall clock""}"
"Make a steampunk desk lamp","{""core_type"": ""lamp"", ""modifiers"": [""steampunk"", ""desk""], ""compound_type"": ""desk lamp""}"
"I want a gothic candle holder","{""core_type"": ""holder"", ""modifiers"": [""gothic"", ""candle""], ""compound_type"": ""candle holder""}"
"Create an art deco vase","{""core_type"": ""vase"", ""modifiers"": [""art deco""], ""compound_type"": ""art deco vase""}"
"Design a modern bathroom sink","{""core_type"": ""sink"", ""modifiers"": [""modern"", ""bathroom""], ""compound_type"": ""bathroom sink""}"
"Build me a retro jukebox model","{""core_type"": ""jukebox"", ""modifiers"": [""retro""], ""compound_type"": ""retro jukebox""}"
"I need a Victorian style mirror frame","{""core_type"": ""frame"", ""modifiers"": [""Victorian"", ""mirror""], ""compound_type"": ""mirror frame""}"
"Make an industrial pipe shelf","{""core_type"": ""shelf"", ""modifiers"": [""industrial"", ""pipe""], ""compound_type"": ""pipe shelf""}"
"Create a minimalist plant stand","{""core_type"": ""stand"", ""modifiers"": [""minimalist"", ""plant""], ""compound_type"": ""plant stand""}"
"Design a futuristic gaming desk","{""core_type"": ""desk"", ""modifiers"": [""futuristic"", ""gaming""], ""compound_type"": ""gaming desk""}"
"I want a baroque picture frame","{""core_type"": ""frame"", ""modifiers"": [""baroque"", ""picture""], ""compound_type"": ""picture frame""}"
"Build a medieval treasure chest","{""core_type"": ""chest"", ""modifiers"": [""medieval"", ""treasure""], ""compound_type"": ""treasure chest""}"
"Create an oriental room divider","{""core_type"": ""divider"", ""modifiers"": [""oriental"", ""room""], ""compound_type"": ""room divider""}"
"Design a contemporary wine rack","{""core_type"": ""rack"", ""modifiers"": [""contemporary"", ""wine""], ""compound_type"": ""wine rack""}"
"Make a rustic coat hook","{""core_type"": ""hook"", ""modifiers"": [""rustic"", ""coat""], ""compound_type"": ""coat hook""}"
"I need an art nouveau table lamp","{""core_type"": ""lamp"", ""modifiers"": [""art nouveau"", ""table""], ""compound_type"": ""table lamp""}"
"Create a modernist chess set","{""core_type"": ""chess set"", ""modifiers"": [""modernist""], ""compound_type"": ""modernist chess set""}"
"Design a sci-fi control panel","{""core_type"": ""panel"", ""modifiers"": [""sci-fi"", ""control""], ""compound_type"": ""control panel""}"
"Build a vintage radio cabinet","{""core_type"": ""cabinet"", ""modifiers"": [""vintage"", ""radio""], ""compound_type"": ""radio cabinet""}"
"Make an industrial ceiling fan","{""core_type"": ""fan"", ""modifiers"": [""industrial"", ""ceiling""], ""compound_type"": ""ceiling fan""}"
"I want a mid-century modern chair","{""core_type"": ""chair"", ""modifiers"": [""mid-century"", ""modern""], ""compound_type"": ""modern chair""}"
"Create a nautical compass rose","{""core_type"": ""compass"", ""modifiers"": [""nautical"", ""rose""], ""compound_type"": ""compass rose""}"
"Design an Egyptian scarab pendant","{""core_type"": ""pendant"", ""modifiers"": [""Egyptian"", ""scarab""], ""compound_type"": ""scarab pendant""}"
"Build a steampunk pocket watch","{""core_type"": ""watch"", ""modifiers"": [""steampunk"", ""pocket""], ""compound_type"": ""pocket watch""}"
"Make a Celtic door knocker","{""core_type"": ""knocker"", ""modifiers"": [""Celtic"", ""door""], ""compound_type"": ""door knocker""}"
"I need an Asian style tea set","{""core_type"": ""tea set"", ""modifiers"": [""Asian""], ""compound_type"": ""Asian tea set""}"
"Create a modern fruit bowl","{""core_type"": ""bowl"", ""modifiers"": [""modern"", ""fruit""], ""compound_type"": ""fruit bowl""}"
"Design an industrial gear clock","{""core_type"": ""clock"", ""modifiers"": [""industrial"", ""gear""], ""compound_type"": ""gear clock""}"
"Build a Scandinavian side table","{""core_type"": ""table"", ""modifiers"": [""Scandinavian"", ""side""], ""compound_type"": ""side table""}"
"Create an Art Deco wall sconce","{""core_type"": ""sconce"", ""modifiers"": [""Art Deco"", ""wall""], ""compound_type"": ""wall sconce""}"
"Design a minimalist phone stand","{""core_type"": ""stand"", ""modifiers"": [""minimalist"", ""phone""], ""compound_type"": ""phone stand""}"
"Make a Victorian bird cage","{""core_type"": ""cage"", ""modifiers"": [""Victorian"", ""bird""], ""compound_type"": ""bird cage""}"
"I need a rustic spice rack","{""core_type"": ""rack"", ""modifiers"": [""rustic"", ""spice""], ""compound_type"": ""spice rack""}"
"Create a modern umbrella stand","{""core_type"": ""stand"", ""modifiers"": [""modern"", ""umbrella""], ""compound_type"": ""umbrella stand""}"
"Design a steampunk wall clock","{""core_type"": ""clock"", ""modifiers"": [""steampunk"", ""wall""], ""compound_type"": ""wall clock""}"
"Build an industrial shoe rack","{""core_type"": ""rack"", ""modifiers"": [""industrial"", ""shoe""], ""compound_type"": ""shoe rack""}"
"Make a gothic window frame","{""core_type"": ""frame"", ""modifiers"": [""gothic"", ""window""], ""compound_type"": ""window frame""}"
"I want a Japanese tea tray","{""core_type"": ""tray"", ""modifiers"": [""Japanese"", ""tea""], ""compound_type"": ""tea tray""}"
"Create a modernist wall shelf","{""core_type"": ""shelf"", ""modifiers"": [""modernist"", ""wall""], ""compound_type"": ""wall shelf""}"
"Design a vintage suitcase","{""core_type"": ""suitcase"", ""modifiers"": [""vintage""], ""compound_type"": ""vintage suitcase""}"
"Build a medieval weapon rack","{""core_type"": ""rack"", ""modifiers"": [""medieval"", ""weapon""], ""compound_type"": ""weapon rack""}"
"Make an art nouveau mirror","{""core_type"": ""mirror"", ""modifiers"": [""art nouveau""], ""compound_type"": ""art nouveau mirror""}"
"I need a contemporary desk organizer","{""core_type"": ""organizer"", ""modifiers"": [""contemporary"", ""desk""], ""compound_type"": ""desk organizer""}"
"Create a rustic wine bottle holder","{""core_type"": ""holder"", ""modifiers"": [""rustic"", ""wine"", ""bottle""], ""compound_type"": ""wine bottle holder""}"
"Design a minimalist book stand","{""core_type"": ""stand"", ""modifiers"": [""minimalist"", ""book""], ""compound_type"": ""book stand""}"
"Build a steampunk letter holder","{""core_type"": ""holder"", ""modifiers"": [""steampunk"", ""letter""], ""compound_type"": ""letter holder""}"
"Make an industrial paper towel holder","{""core_type"": ""holder"", ""modifiers"": [""industrial"", ""paper towel""], ""compound_type"": ""paper towel holder""}"
"I want a baroque jewelry box","{""core_type"": ""box"", ""modifiers"": [""baroque"", ""jewelry""], ""compound_type"": ""jewelry box""}"
"Create a modern magazine rack","{""core_type"": ""rack"", ""modifiers"": [""modern"", ""magazine""], ""compound_type"": ""magazine rack""}"
"Design an oriental incense holder","{""core_type"": ""holder"", ""modifiers"": [""oriental"", ""incense""], ""compound_type"": ""incense holder""}"
"Build a Victorian hat stand","{""core_type"": ""stand"", ""modifiers"": [""Victorian"", ""hat""], ""compound_type"": ""hat stand""}"
"Make a Celtic cross pendant","{""core_type"": ""pendant"", ""modifiers"": [""Celtic"", ""cross""], ""compound_type"": ""cross pendant""}"
"I need an Egyptian wall sconce","{""core_type"": ""sconce"", ""modifiers"": [""Egyptian"", ""wall""], ""compound_type"": ""wall sconce""}"
"Create a futuristic desk pad","{""core_type"": ""pad"", ""modifiers"": [""futuristic"", ""desk""], ""compound_type"": ""desk pad""}"
"Design a rustic key holder","{""core_type"": ""holder"", ""modifiers"": [""rustic"", ""key""], ""compound_type"": ""key holder""}"
"Build an industrial towel rack","{""core_type"": ""rack"", ""modifiers"": [""industrial"", ""towel""], ""compound_type"": ""towel rack""}"
"Make a minimalist soap dish","{""core_type"": ""dish"", ""modifiers"": [""minimalist"", ""soap""], ""compound_type"": ""soap dish""}"
"I want an art deco door handle","{""core_type"": ""handle"", ""modifiers"": [""art deco"", ""door""], ""compound_type"": ""door handle""}"
"Create a modern fireplace mantel","{""core_type"": ""mantel"", ""modifiers"": [""modern"", ""fireplace""], ""compound_type"": ""fireplace mantel""}"
"Design a Victorian garden gate","{""core_type"": ""gate"", ""modifiers"": [""Victorian"", ""garden""], ""compound_type"": ""garden gate""}"
"Build a steampunk ceiling light","{""core_type"": ""light"", ""modifiers"": [""steampunk"", ""ceiling""], ""compound_type"": ""ceiling light""}"
"Make an industrial wine glass holder","{""core_type"": ""holder"", ""modifiers"": [""industrial"", ""wine glass""], ""compound_type"": ""wine glass holder""}"
"I need a minimalist coat rack","{""core_type"": ""rack"", ""modifiers"": [""minimalist"", ""coat""], ""compound_type"": ""coat rack""}"
"Create an art nouveau door frame","{""core_type"": ""frame"", ""modifiers"": [""art nouveau"", ""door""], ""compound_type"": ""door frame""}"
"Design a rustic serving tray","{""core_type"": ""tray"", ""modifiers"": [""rustic"", ""serving""], ""compound_type"": ""serving tray""}"
"Build a gothic chandelier","{""core_type"": ""chandelier"", ""modifiers"": [""gothic""], ""compound_type"": ""gothic chandelier""}"
"Make a contemporary wall planter","{""core_type"": ""planter"", ""modifiers"": [""contemporary"", ""wall""], ""compound_type"": ""wall planter""}"
"I want an oriental room screen","{""core_type"": ""screen"", ""modifiers"": [""oriental"", ""room""], ""compound_type"": ""room screen""}"
"Create a modernist desk lamp","{""core_type"": ""lamp"", ""modifiers"": [""modernist"", ""desk""], ""compound_type"": ""desk lamp""}"
"Design an Egyptian wall panel","{""core_type"": ""panel"", ""modifiers"": [""Egyptian"", ""wall""], ""compound_type"": ""wall panel""}"
"Build a medieval torch holder","{""core_type"": ""holder"", ""modifiers"": [""medieval"", ""torch""], ""compound_type"": ""torch holder""}"
"Make a Scandinavian shelf unit","{""core_type"": ""unit"", ""modifiers"": [""Scandinavian"", ""shelf""], ""compound_type"": ""shelf unit""}"
"I need an industrial pipe lamp","{""core_type"": ""lamp"", ""modifiers"": [""industrial"", ""pipe""], ""compound_type"": ""pipe lamp""}"
"Create a baroque mirror frame","{""core_type"": ""frame"", ""modifiers"": [""baroque"", ""mirror""], ""compound_type"": ""mirror frame""}"
"Design a minimalist wall hook","{""core_type"": ""hook"", ""modifiers"": [""minimalist"", ""wall""], ""compound_type"": ""wall hook""}"
"Build an art deco mailbox","{""core_type"": ""mailbox"", ""modifiers"": [""art deco""], ""compound_type"": ""art deco mailbox""}"
"Make a rustic window box","{""core_type"": ""box"", ""modifiers"": [""rustic"", ""window""], ""compound_type"": ""window box""}"
"I want a Victorian plant stand","{""core_type"": ""stand"", ""modifiers"": [""Victorian"", ""plant""], ""compound_type"": ""plant stand""}"
"Create a steampunk door bell","{""core_type"": ""bell"", ""modifiers"": [""steampunk"", ""door""], ""compound_type"": ""door bell""}"
"Design a modern knife block","{""core_type"": ""block"", ""modifiers"": [""modern"", ""knife""], ""compound_type"": ""knife block""}"
"Build a Celtic wall cross","{""core_type"": ""cross"", ""modifiers"": [""Celtic"", ""wall""], ""compound_type"": ""wall cross""}"
"Make an oriental tea box","{""core_type"": ""box"", ""modifiers"": [""oriental"", ""tea""], ""compound_type"": ""tea box""}"
"I need a contemporary wine glass rack","{""core_type"": ""rack"", ""modifiers"": [""contemporary"", ""wine glass""], ""compound_type"": ""wine glass rack""}"
"Create a futuristic monitor stand","{""core_type"": ""stand"", ""modifiers"": [""futuristic"", ""monitor""], ""compound_type"": ""monitor stand""}"
"Design an industrial paper tray","{""core_type"": ""tray"", ""modifiers"": [""industrial"", ""paper""], ""compound_type"": ""paper tray""}"
"Build a minimalist pencil holder","{""core_type"": ""holder"", ""modifiers"": [""minimalist"", ""pencil""], ""compound_type"": ""pencil holder""}"
"Make a gothic candelabra","{""core_type"": ""candelabra"", ""modifiers"": [""gothic""], ""compound_type"": ""gothic candelabra""}"
"I want an art nouveau vase stand","{""core_type"": ""stand"", ""modifiers"": [""art nouveau"", ""vase""], ""compound_type"": ""vase stand""}"
"Create a rustic wall shelf","{""core_type"": ""shelf"", ""modifiers"": [""rustic"", ""wall""], ""compound_type"": ""wall shelf""}"
"Design a modern fruit basket","{""core_type"": ""basket"", ""modifiers"": [""modern"", ""fruit""], ""compound_type"": ""fruit basket""}"
"Build a steampunk key rack","{""core_type"": ""rack"", ""modifiers"": [""steampunk"", ""key""], ""compound_type"": ""key rack""}"
"Make an industrial wine rack","{""core_type"": ""rack"", ""modifiers"": [""industrial"", ""wine""], ""compound_type"": ""wine rack""}"
"I need a minimalist book shelf","{""core_type"": ""shelf"", ""modifiers"": [""minimalist"", ""book""], ""compound_type"": ""book shelf""}"
"Create an art deco table base","{""core_type"": ""base"", ""modifiers"": [""art deco"", ""table""], ""compound_type"": ""table base""}"
"Design a Victorian coat hook","{""core_type"": ""hook"", ""modifiers"": [""Victorian"", ""coat""], ""compound_type"": ""coat hook""}"
"Build a gothic wall sconce","{""core_type"": ""sconce"", ""modifiers"": [""gothic"", ""wall""], ""compound_type"": ""wall sconce""}"
"Make a contemporary magazine holder","{""core_type"": ""holder"", ""modifiers"": [""contemporary"", ""magazine""], ""compound_type"": ""magazine holder""}"
"I want an oriental tea cabinet","{""core_type"": ""cabinet"", ""modifiers"": [""oriental"", ""tea""], ""compound_type"": ""tea cabinet""}"
"Create a modernist wall clock","{""core_type"": ""clock"", ""modifiers"": [""modernist"", ""wall""], ""compound_type"": ""wall clock""}"
